contract,status,funded,split_sheet,split_mca,K_sheet,comm_pct_mca_now,feein_sheet,feein_mca_orig,paid_sheet_exJ,paid_pending_share,paid_cleared_share,feeout_sheet,feeout_mca_on_cleared,J_sheet,flag
5674180638,Lowered Payments,100000.0,0.02,0.02,0.12,0.12,320.0,320.0,1378.13,1378.13,1332.19,55.12,53.29,,PENDING
5674180655,Open,6398.34,0.02,0.02,0.05,0.05,11.52,11.52,154.63,154.62,148.44,6.19,5.94,,PENDING
5674180685,Closed,30000.0,0.01,0.01,0.12,0.12,48.0,48.0,450.0,450.0,450.0,18.0,18.0,,
5674180764,Closed,50000.0,0.01,0.01,0.05,0.05,44.99,45.0,744.99,745.0,745.0,29.8,29.8,,
5674180779,Closed,21000.0,0.02,0.02,0.1,0.1,58.8,58.8,638.4,638.4,638.4,25.54,25.54,,
5674180841,Legal,75000.0,0.02,0.02,0.12,0.0,240.0,240.0,992.72,992.72,992.72,39.71,39.71,180.0,
5674180956,Closed,5000.0,0.01,0.01,0.12,0.12,8.0,8.0,75.0,75.0,75.0,3.01,3.0,,
5674181025,Closed,6433.59,0.01,0.01,0.05,0.05,5.8,5.79,93.29,93.29,93.29,3.74,3.73,,
5674181127,Collections,32500.0,0.01,0.01,0.05,0.0,29.25,29.25,74.09,74.09,74.09,2.96,2.96,16.25,
5674181151,Closed,30000.0,0.01,0.01,0.05,0.02,27.01,27.0,360.0,360.0,360.0,14.4,14.4,9.0,
5674181223,Lowered Payments,145000.0,0.02,0.02,0.12,0.0,464.0,464.0,1918.2,1918.2,1845.7,76.73,73.83,348.0,PENDING
5674181370,Closed,25000.0,0.01,0.01,0.12,0.0,39.99,40.0,367.51,367.5,367.5,14.71,14.7,30.0,
5674181388,Closed,20000.0,0.01,0.01,0.05,0.05,18.0,18.0,280.01,280.0,280.0,11.21,11.2,,
5674181490,Closed,11000.0,0.01,0.01,0.05,0.05,9.9,9.9,170.4,170.39,170.39,6.82,6.82,,
5674181503,Open,9500.0,0.01,0.01,0.05,0.05,8.55,8.55,113.38,113.38,108.08,4.54,4.32,,PENDING
5674181505,Open,25000.0,0.01,0.01,0.083,0.083,30.74,30.75,176.55,176.56,168.53,7.05,6.74,,PENDING
5674181506,Open,40000.0,0.01,0.02,0.12,0.05,64.0,128.0,468.3,936.57,894.0,18.73,35.76,,SPLIT COMM-K-DIFF-NO-J PENDING
5674181566,Collections,35000.0,0.01,0.01,0.12,0.12,56.0,56.0,312.9,312.9,312.9,12.52,12.52,,
5674181674,Settled-Legal,45000.0,0.01,0.01,0.05,0.0,40.5,40.5,433.63,433.63,433.63,17.35,17.35,22.5,
5674181681,Legal,55000.0,0.02,0.02,0.12,0.12,176.0,176.0,274.99,275.0,275.0,11.0,11.0,,
5674181805,Closed,50000.0,0.02,0.02,0.05,0.05,90.0,90.0,1440.0,1440.0,1440.0,57.6,57.6,,
5674181912,Closed,50000.0,0.01,0.01,0.05,0.05,44.99,45.0,750.0,750.0,750.0,30.01,30.0,,
5674181952,Collections,36500.0,0.01,0.01,0.05,0.0,32.86,32.85,0.0,0.0,0.0,0.0,0.0,18.25,
5674182015,Closed,125000.0,0.01,0.01,0.05,0.05,112.49,112.5,1873.75,1873.75,1873.75,74.95,74.95,,
5674182079,Cancelled,45000.0,0,0.01,,0.12,0.0,72.0,0.0,0.0,0.0,0.0,0.0,,SPLIT
5674182085,Closed,40000.0,0.01,0.01,0.11,0.11,60.0,60.0,591.6,591.6,591.6,23.66,23.66,,
5674182131,Open,36000.0,0.01,0.01,0.1,0.1,50.4,50.4,495.9,495.9,495.9,19.83,19.84,,
5674182184,Closed,50000.0,0.01,0.01,0.05,0.05,45.0,45.0,745.0,745.0,745.0,29.79,29.8,,
5674182211,Closed,30000.0,0.01,0.01,0.05,0.05,27.0,27.0,446.99,447.0,447.0,17.88,17.88,,
5674182229,Open,15000.0,0.01,0.01,0.05,0.05,13.5,13.5,135.19,135.19,128.62,5.41,5.14,,PENDING
5674182320,Open,33000.0,0.01,0.01,0.12,0.12,52.8,52.8,494.67,494.67,482.3,19.78,19.29,,PENDING
5674182366,Closed,10000.0,0.01,0.01,0.1,0.1,13.99,14.0,145.91,145.9,145.9,5.83,5.84,,
5674182415,Legal,15000.0,0.01,0.01,0.12,0.12,24.0,24.0,67.5,67.5,67.5,2.7,2.7,,
5674182561,Open,250000.0,0.01,0.01,0.05,0.05,225.0,225.0,1880.0,1880.0,1762.5,75.2,70.5,,PENDING
