contract,status,funded,split_sheet,split_mca,K_sheet,comm_pct_mca_now,feein_sheet,feein_mca_orig,paid_sheet_exJ,paid_pending_share,paid_cleared_share,feeout_sheet,feeout_mca_on_cleared,J_sheet,flag
5674190231,Open,50000.0,0.01,0.01,0.05,0.05,45.0,40.0,96.67,96.67,48.33,3.87,1.45,,PENDING
5674190251,Open,9000.0,0.01,0.01,0.05,0.05,8.09,6.3,6.75,6.75,3.38,0.27,0.1,,PENDING
5674190471,Open,20000.0,0.01,0.01,0.05,0.05,18.0,16.0,14.5,14.5,0.0,0.58,0.0,,PENDING
5674190484,Open,25000.0,0.01,0.01,0.05,0.05,22.5,20.0,15.0,15.0,0.0,0.61,0.0,,PENDING
5674190641,Open,45000.0,0.01,0.01,0.12,0.12,72.0,67.5,41.5,41.5,17.5,1.66,0.53,,PENDING
5674190661,Open,20000.0,0.01,0.01,0.1,0.1,28.0,26.0,27.65,27.64,0.0,1.1,0.0,,PENDING
5674190804,Open,30000.0,0.01,0.01,0.08,0.088,36.0,35.4,0.0,0.0,0.0,0.0,0.0,,COMM-K-DIFF-NO-J
5674190873,Open,20000.0,0.01,0.01,0.05,0.05,18.0,16.0,0.0,0.0,0.0,0.0,0.0,,
5674190891,Open,10000.0,0.01,0.01,0.05,0.05,9.0,8.0,0.0,0.0,0.0,0.0,0.0,,
5674190918,Open,260000.0,0.01,0.01,0.12,0.12,415.99,390.0,0.0,0.0,0.0,0.0,0.0,,
5674171418,Closed,165000.0,0.01,0.01,0.12,0.12,264.0,264.0,2475.0,2475.0,2475.0,99.0,99.0,,
5674171435,Legal,12000.0,0.01,0.01,0.05,0.05,10.8,10.8,70.6,70.6,70.6,2.82,2.82,,
5674171574,Closed,12000.0,0.01,0.01,0.05,0.05,10.8,10.8,182.4,182.4,182.4,7.3,7.3,,
5674171669,Closed,50000.0,0.01,0.01,0.12,0.12,80.0,80.0,735.0,735.0,735.0,29.4,29.4,,
5674171681,Open,100000.0,0.01,0.01,0.02,0.02,60.0,60.0,1320.0,1320.0,1316.35,52.8,52.65,,PENDING
5674172505,Closed,120000.0,0.01,0.01,0.12,0.0,192.0,192.0,1800.0,1800.0,1800.0,72.0,72.0,144.0,
5674172507,Closed,30000.0,0.01,0.01,0.05,0.05,27.0,27.0,449.7,449.7,449.7,17.98,17.99,,
5674172620,Closed,77000.0,0.01,0.01,0.05,0.05,69.3,69.3,1147.3,1147.3,1147.3,45.9,45.89,,
5674172641,Closed,125000.0,0.01,0.01,0.04,0.04,100.0,100.0,1662.5,1662.5,1662.5,66.5,66.5,,
5674172681,Lowered Payments,75000.0,0.01,0.01,0.04,0.04,60.0,60.0,603.26,603.25,593.67,24.14,23.75,,PENDING
5674172686,Settled-Legal,82500.0,0.01,0.01,0.12,0.0,132.0,132.0,1105.3,1105.3,1105.3,44.22,44.21,99.0,
5674172724,Closed,79000.0,0.01,0.01,0.05,0.05,71.1,71.1,1027.0,1027.0,1027.0,41.08,41.08,,
5674172741,Closed,45000.0,0.01,0.01,0.12,0.12,72.0,72.0,652.5,652.5,652.5,26.1,26.1,,
5674172777,Closed,700000.0,0.01,0.01,0.04,0.04,560.0,560.0,9450.0,9450.0,9450.0,378.0,378.0,,
5674172841,Closed,23000.0,0.01,0.01,0.12,0.12,36.8,36.8,344.78,344.77,344.77,13.8,13.79,,
5674173009,Legal,40000.0,0.01,0.01,0.12,0.12,64.0,64.0,322.5,322.5,322.5,12.9,12.9,,
5674173025,Closed,50000.0,0.01,0.01,0.1,0.02,70.0,70.0,530.37,530.35,530.35,21.22,21.21,75.11,
5674173051,Closed,17500.0,0.01,0.01,0.05,0.01,15.76,15.75,201.26,201.25,201.25,8.06,8.05,7.0,
5674173161,Closed,30000.0,0.01,0.01,0.05,0.05,27.0,27.0,405.0,405.0,405.0,16.2,16.2,,
5674173162,Closed,32000.0,0.01,0.01,0.05,0.05,28.8,28.8,416.0,416.0,416.0,16.64,16.64,,
5674173171,Closed,55000.0,0.01,0.01,0.12,0.12,88.0,88.0,836.0,836.0,836.0,33.44,33.44,66.0,
5674173200,Closed,17000.0,0.01,0.01,0.12,0.12,27.2,27.2,255.0,255.0,255.0,10.2,10.2,,
5674173266,Bankruptcy,78000.0,0.01,0.01,0.05,0.05,70.2,70.2,301.2,301.21,301.21,12.04,12.05,,
5674173303,Debt Settlement,50000.0,0.01,0.01,0.1,0.1,70.0,70.0,513.7,513.69,513.69,20.54,20.55,,
5674173312,Lowered Payments,125000.0,0.01,0.01,0.1,0.1,175.0,175.0,940.7,940.69,936.69,37.62,37.47,,PENDING
5674173375,Lowered Payments,17000.0,0.01,0.01,0.05,0.0,15.3,15.3,189.18,189.17,184.17,7.56,7.37,8.5,PENDING
5674173442,Bankruptcy,100000.0,0.01,0.01,0.05,0.05,90.0,90.0,1154.3,1154.3,1154.3,46.18,46.17,,
5674173493,Closed,118000.0,0.01,0.01,0.05,0.03,106.2,106.2,1357.0,1357.0,1357.0,54.28,54.28,82.6,
5674173546,Closed,20000.0,0.01,0.01,0.08,0.08,24.0,24.0,304.0,304.0,304.0,12.16,12.16,,
5674173632,Closed,50000.0,0.01,0.01,0.12,0.12,80.0,80.0,725.0,725.0,725.0,29.0,29.0,,
5674173635,Closed,25000.0,0.01,0.01,0.12,0.12,40.0,40.0,362.5,362.5,362.5,14.5,14.5,,
5674173738,SIF-Collections,82500.0,0.01,0.01,0.12,0.12,132.0,132.0,1100.18,1100.17,1100.17,44.0,44.01,,
5674173778,Closed,30000.0,0.01,0.01,0.09,0.09,39.0,39.0,449.7,449.7,449.7,17.98,17.99,,
5674173788,Open,15000.0,0.01,0.01,0.12,0.12,24.0,24.0,220.5,220.5,218.5,8.82,8.74,,PENDING
5674173891,Lowered Payments,300000.0,0.01,0.01,0.02,0.02,180.0,180.0,2011.56,2011.55,1991.55,80.46,79.66,,PENDING
5674173980,Lowered Payments,40000.0,0.01,0.01,0.12,0.0,64.0,64.0,421.5,421.5,406.5,16.86,16.26,48.0,PENDING
5674173998,Closed,10000.0,0.01,0.01,0.08,0.08,12.0,12.0,152.0,152.0,152.0,6.08,6.08,,
5674174009,Legal,12000.0,0.01,0.01,0.1,0.0,16.8,16.8,67.5,67.5,67.5,2.7,2.7,12.0,
5674174017,Legal,21500.0,0.01,0.01,0.05,0.05,19.34,19.35,50.2,50.19,50.19,2.0,2.01,,
5674174073,Legal,30000.0,0.01,0.01,0.08,0.08,36.0,36.0,336.4,336.4,336.4,13.46,13.46,,
5674174279,Closed,12000.0,0.01,0.01,0.1,0.05,16.8,16.8,162.0,162.0,162.0,6.48,6.48,6.0,
5674174307,Legal,35000.0,0.01,0.01,0.12,0.0,56.0,56.0,137.54,137.53,137.53,5.5,5.5,42.0,
5674174317,Closed,75000.0,0.01,0.01,0.1,0.1,105.0,105.0,1087.5,1087.5,1087.5,43.5,43.5,,
5674174343,Lowered Payments,38500.0,0.01,0.01,0.1,0.1,53.9,53.9,229.92,229.91,226.85,9.2,9.07,,PENDING
5674174425,Closed,10000.0,0.01,0.01,0.12,0.12,16.0,16.0,150.0,150.0,150.0,6.0,6.0,,
5674174432,Legal,34000.0,0.01,0.01,0.12,0.0,54.4,54.4,93.76,93.75,93.75,3.75,3.75,40.8,
5674174441,Closed,15000.0,0.01,0.01,0.05,0.05,13.5,13.5,217.5,217.5,217.5,8.7,8.7,,
5674174470,Lowered Payments,10000.0,0.01,0.01,0.075,0.075,11.5,11.5,74.76,74.75,74.25,3.0,2.97,,PENDING
5674174559,Closed,48500.0,0.01,0.01,0.096,0.012,65.96,65.96,514.1,514.1,514.1,20.57,20.56,73.72,
5674174617,Closed,80000.0,0.01,0.01,0.05,0.05,72.0,72.0,1080.0,1080.0,1080.0,43.2,43.2,,
